epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1023.97,0.75698,0.40266,0.91925,0.49418,0.79596,0.63867,0.52376,0.71857,0.37246,0.92379,0.000767264,0.000767264,0.000767264
65,1039.35,0.75625,0.4035,0.9153,0.46781,0.75647,0.62293,0.51212,0.70187,0.37303,0.91827,0.000765014,0.000765014,0.000765014
66,1054.72,0.74989,0.39868,0.91842,0.67024,0.63653,0.62678,0.51275,0.72294,0.36269,0.92448,0.000762765,0.000762765,0.000762765
67,1070.26,0.75437,0.39852,0.91499,0.56645,0.7601,0.63695,0.52591,0.70499,0.36088,0.9183,0.000760515,0.000760515,0.000760515
68,1085.72,0.75393,0.39606,0.91911,0.45761,0.82076,0.62596,0.51545,0.70305,0.36897,0.91841,0.000758265,0.000758265,0.000758265
69,1101.41,0.75236,0.39605,0.91588,0.54004,0.73009,0.62735,0.519,0.69873,0.35782,0.91602,0.000756015,0.000756015,0.000756015
70,1117.11,0.74884,0.39579,0.91391,0.50506,0.73271,0.62239,0.50724,0.70037,0.36084,0.91682,0.000753766,0.000753766,0.000753766
71,1132.59,0.7574,0.39806,0.91772,0.52516,0.73102,0.63489,0.52183,0.69772,0.36151,0.91635,0.000751516,0.000751516,0.000751516
72,1147.94,0.74642,0.39337,0.91283,0.53331,0.73703,0.6261,0.50957,0.70229,0.35629,0.91678,0.000749266,0.000749266,0.000749266
73,1163.64,0.74982,0.39542,0.91662,0.54428,0.79075,0.64452,0.5335,0.69138,0.35601,0.91536,0.000747016,0.000747016,0.000747016
74,1179.15,0.74253,0.39352,0.91387,0.55095,0.74755,0.63151,0.51876,0.68963,0.35564,0.91448,0.000744766,0.000744766,0.000744766
75,1194.84,0.75156,0.39365,0.916,0.49914,0.78782,0.65582,0.54422,0.69953,0.35145,0.9184,0.000742517,0.000742517,0.000742517
76,1210.39,0.74418,0.39183,0.91241,0.57504,0.78582,0.65814,0.53889,0.73259,0.35348,0.92713,0.000740267,0.000740267,0.000740267
77,1227.13,0.74667,0.3922,0.91563,0.57437,0.80374,0.64226,0.53037,0.7053,0.37291,0.92057,0.000738017,0.000738017,0.000738017
78,1242.86,0.74682,0.38832,0.91371,0.53974,0.75249,0.6492,0.53672,0.69799,0.34983,0.91631,0.000735767,0.000735767,0.000735767
79,1258.36,0.74567,0.39223,0.91279,0.57453,0.77562,0.64133,0.52967,0.70974,0.35195,0.92141,0.000733518,0.000733518,0.000733518
80,1274.13,0.74136,0.38659,0.91157,0.54459,0.77881,0.64172,0.53356,0.69191,0.35315,0.91551,0.000731268,0.000731268,0.000731268
81,1289.57,0.73482,0.38552,0.91101,0.56561,0.78132,0.65223,0.54084,0.69428,0.35742,0.91691,0.000729018,0.000729018,0.000729018
82,1305.16,0.73478,0.3843,0.91332,0.51389,0.7918,0.63474,0.52683,0.70368,0.35297,0.91845,0.000726768,0.000726768,0.000726768
83,1320.66,0.74504,0.38881,0.919,0.58651,0.77638,0.64502,0.53203,0.69924,0.35228,0.91794,0.000724518,0.000724518,0.000724518
84,1336.18,0.73309,0.38282,0.91142,0.55071,0.75993,0.64629,0.53144,0.69767,0.36022,0.91912,0.000722269,0.000722269,0.000722269
85,1352.02,0.74615,0.38661,0.9152,0.58534,0.75831,0.64326,0.52665,0.703,0.35885,0.92136,0.000720019,0.000720019,0.000720019
86,1367.47,0.73325,0.38603,0.91065,0.56101,0.76007,0.66167,0.54773,0.69484,0.35108,0.9166,0.000717769,0.000717769,0.000717769
87,1383.22,0.73615,0.38197,0.91179,0.54382,0.75868,0.63706,0.52599,0.70997,0.3523,0.92104,0.000715519,0.000715519,0.000715519
88,1398.76,0.73634,0.38206,0.91171,0.54329,0.77447,0.64442,0.53311,0.70496,0.35465,0.91857,0.00071327,0.00071327,0.00071327
89,1414.56,0.73756,0.38457,0.91024,0.57304,0.80247,0.65845,0.54609,0.68449,0.35564,0.91266,0.00071102,0.00071102,0.00071102
90,1430.35,0.74592,0.38695,0.91178,0.58493,0.73265,0.6376,0.52575,0.70811,0.36285,0.92106,0.00070877,0.00070877,0.00070877
91,1445.74,0.73078,0.3801,0.91014,0.57296,0.74164,0.65807,0.5395,0.71466,0.35327,0.92542,0.00070652,0.00070652,0.00070652
92,1461.46,0.7398,0.38268,0.90796,0.53851,0.78812,0.65325,0.53698,0.70839,0.35631,0.91942,0.00070427,0.00070427,0.00070427
93,1476.86,0.7286,0.37786,0.90739,0.58475,0.7835,0.65119,0.5383,0.69387,0.347,0.91595,0.000702021,0.000702021,0.000702021
94,1495.41,0.73035,0.37892,0.91474,0.56523,0.80807,0.65546,0.54129,0.71779,0.35073,0.92313,0.000699771,0.000699771,0.000699771
95,1511.13,0.73872,0.37976,0.91311,0.59504,0.76458,0.64932,0.53692,0.72052,0.3441,0.92415,0.000697521,0.000697521,0.000697521
96,1526.8,0.74621,0.3843,0.91567,0.57278,0.79815,0.66972,0.55343,0.70584,0.34391,0.92018,0.000695271,0.000695271,0.000695271
97,1545.63,0.74027,0.37993,0.91577,0.58505,0.80676,0.65994,0.54416,0.68758,0.3432,0.9135,0.000693022,0.000693022,0.000693022
98,1561.37,0.73221,0.38014,0.90784,0.55847,0.78545,0.66721,0.55165,0.67888,0.33641,0.91007,0.000690772,0.000690772,0.000690772
99,1577.82,0.73071,0.37741,0.90674,0.58141,0.80414,0.65819,0.54701,0.71293,0.34288,0.92027,0.000688522,0.000688522,0.000688522
100,1593.37,0.72256,0.37344,0.90965,0.59519,0.79563,0.66644,0.55054,0.68838,0.33521,0.91223,0.000686272,0.000686272,0.000686272
101,1608.99,0.72197,0.37297,0.90737,0.56648,0.80135,0.65317,0.54206,0.69187,0.3375,0.91439,0.000684022,0.000684022,0.000684022
102,1624.64,0.74076,0.38199,0.9131,0.56093,0.82096,0.66446,0.5463,0.69726,0.34365,0.91655,0.000681773,0.000681773,0.000681773
103,1641.03,0.73946,0.37824,0.90944,0.56279,0.77932,0.65871,0.546,0.68256,0.3326,0.91102,0.000679523,0.000679523,0.000679523
104,1656.45,0.7309,0.37343,0.91069,0.57641,0.77377,0.65789,0.54532,0.68612,0.33317,0.91209,0.000677273,0.000677273,0.000677273
105,1672.05,0.728,0.37418,0.9066,0.56503,0.78974,0.67419,0.5601,0.68361,0.33071,0.91094,0.000675023,0.000675023,0.000675023
106,1687.56,0.73155,0.37636,0.9077,0.58224,0.78972,0.66872,0.55223,0.68446,0.33063,0.91153,0.000672774,0.000672774,0.000672774
107,1702.94,0.72472,0.37299,0.91047,0.59677,0.76715,0.67215,0.55571,0.67789,0.32926,0.90973,0.000670524,0.000670524,0.000670524
108,1718.47,0.73126,0.37546,0.90992,0.59517,0.77378,0.67456,0.55923,0.68572,0.32983,0.91166,0.000668274,0.000668274,0.000668274
109,1733.9,0.72618,0.37249,0.90928,0.59634,0.76407,0.67606,0.56111,0.67988,0.32908,0.90992,0.000666024,0.000666024,0.000666024
110,1749.43,0.72606,0.37306,0.90998,0.58815,0.77919,0.66444,0.55116,0.67644,0.33202,0.90856,0.000663775,0.000663775,0.000663775
111,1765.19,0.71881,0.3689,0.9076,0.56255,0.76293,0.66504,0.55091,0.68147,0.33355,0.91026,0.000661525,0.000661525,0.000661525
112,1781.15,0.72061,0.37036,0.90746,0.57813,0.73402,0.66037,0.54875,0.68184,0.32754,0.91024,0.000659275,0.000659275,0.000659275
113,1796.73,0.73141,0.37457,0.90774,0.59084,0.80829,0.66326,0.54916,0.70498,0.33108,0.9181,0.000657025,0.000657025,0.000657025
114,1812.21,0.71913,0.37077,0.90407,0.57051,0.7569,0.65363,0.54478,0.6855,0.33308,0.91189,0.000654775,0.000654775,0.000654775
115,1827.91,0.72618,0.37064,0.90652,0.57942,0.78068,0.65959,0.54299,0.69682,0.33504,0.91564,0.000652526,0.000652526,0.000652526
116,1843.6,0.71832,0.36782,0.90283,0.58059,0.78935,0.68024,0.56736,0.6787,0.32997,0.90985,0.000650276,0.000650276,0.000650276
117,1867.09,0.72393,0.36974,0.90687,0.61276,0.76791,0.67137,0.56033,0.67703,0.33156,0.90936,0.000648026,0.000648026,0.000648026
118,1883.73,0.71984,0.36965,0.90448,0.60365,0.76878,0.67819,0.56405,0.67851,0.32766,0.90932,0.000645776,0.000645776,0.000645776
119,1899.7,0.72428,0.37035,0.90483,0.58464,0.77257,0.6599,0.5508,0.6917,0.32836,0.91277,0.000643527,0.000643527,0.000643527
120,1915.33,0.70956,0.36477,0.90277,0.58607,0.7674,0.66593,0.55311,0.68063,0.32438,0.91022,0.000641277,0.000641277,0.000641277
121,1931.01,0.72032,0.36925,0.90907,0.5974,0.77779,0.68404,0.5676,0.68101,0.32916,0.91032,0.000639027,0.000639027,0.000639027
122,1946.64,0.72108,0.36734,0.90224,0.55792,0.8038,0.67243,0.55647,0.6783,0.3263,0.90916,0.000636777,0.000636777,0.000636777
123,1962.33,0.71405,0.36415,0.90555,0.58513,0.79991,0.66928,0.555,0.68304,0.32791,0.91123,0.000634527,0.000634527,0.000634527
124,1977.76,0.70815,0.36088,0.90381,0.581,0.7806,0.6823,0.56533,0.69289,0.32969,0.91465,0.000632278,0.000632278,0.000632278
125,1993.95,0.71805,0.36678,0.90598,0.58046,0.78589,0.66986,0.55268,0.69673,0.32911,0.91492,0.000630028,0.000630028,0.000630028
126,2009.59,0.71423,0.36435,0.90427,0.60663,0.75481,0.66633,0.55438,0.68033,0.32657,0.91113,0.000627778,0.000627778,0.000627778
127,2024.98,0.71926,0.36459,0.90203,0.58363,0.79969,0.68644,0.57077,0.6746,0.32292,0.90877,0.000625528,0.000625528,0.000625528
128,2040.63,0.71806,0.36443,0.90209,0.61284,0.75248,0.67436,0.5616,0.67635,0.32161,0.90965,0.000623279,0.000623279,0.000623279
