epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,3289.59,1.56501,1.27596,1.09029,0.81909,0.83967,0.84193,0.39798,1.46035,1.30063,1.10793,0.00804475,0.00804475,0.00804475
81,3330.8,1.5587,1.20514,1.08156,0.8134,0.81888,0.8196,0.37087,1.70779,1.22768,1.18174,0.00802,0.00802,0.00802
82,3372.01,1.55896,1.22189,1.08699,0.80131,0.80987,0.82325,0.36182,1.76302,1.24121,1.19199,0.00799525,0.00799525,0.00799525
83,3413.34,1.56325,1.21122,1.08037,0.80761,0.81154,0.81868,0.36239,1.76532,1.26405,1.20324,0.0079705,0.0079705,0.0079705
84,3454.74,1.5544,1.2251,1.08553,0.81224,0.83189,0.83543,0.38699,1.57691,1.26753,1.13683,0.00794575,0.00794575,0.00794575
85,3495.92,1.54958,1.21141,1.0792,0.82011,0.82102,0.83307,0.38455,1.58886,1.27037,1.14111,0.007921,0.007921,0.007921
86,3537.09,1.55262,1.21989,1.08258,0.8159,0.81234,0.82689,0.36191,1.88694,1.21212,1.26152,0.00789625,0.00789625,0.00789625
87,3578.3,1.56501,1.21403,1.08358,0.81703,0.82975,0.83146,0.37255,1.75624,1.2262,1.19604,0.0078715,0.0078715,0.0078715
88,3619.57,1.55439,1.21632,1.08238,0.82493,0.84019,0.8448,0.3963,1.46458,1.30691,1.10421,0.00784675,0.00784675,0.00784675
89,3660.74,1.56363,1.22359,1.09345,0.80881,0.8125,0.82022,0.35928,1.85871,1.21868,1.23227,0.007822,0.007822,0.007822
90,3702.01,1.56131,1.20298,1.07849,0.80946,0.8169,0.82714,0.36635,1.76848,1.227,1.19845,0.00779725,0.00779725,0.00779725
91,3743.34,1.54105,1.22572,1.07984,0.80665,0.8013,0.81621,0.34357,2.04607,1.20118,1.3211,0.0077725,0.0077725,0.0077725
92,3784.63,1.54431,1.22151,1.07856,0.80839,0.80918,0.81729,0.34942,1.96996,1.20331,1.28542,0.00774775,0.00774775,0.00774775
93,3825.85,1.54415,1.2185,1.07758,0.81309,0.82939,0.82209,0.3721,1.69571,1.22708,1.16868,0.007723,0.007723,0.007723
94,3867.1,1.54478,1.20867,1.07569,0.81593,0.82077,0.82653,0.36408,1.82284,1.20679,1.2163,0.00769825,0.00769825,0.00769825
95,3908.41,1.54659,1.21227,1.08941,0.80705,0.82364,0.82252,0.3452,2.01139,1.17742,1.29304,0.0076735,0.0076735,0.0076735
96,3949.5,1.55163,1.21103,1.08139,0.82305,0.82417,0.83681,0.38584,1.56358,1.26864,1.13204,0.00764875,0.00764875,0.00764875
97,3990.73,1.54591,1.2116,1.07689,0.81755,0.83159,0.8359,0.38751,1.64359,1.2397,1.16233,0.007624,0.007624,0.007624
98,4031.93,1.53872,1.21502,1.07797,0.81629,0.83773,0.8345,0.39033,1.60269,1.24432,1.15178,0.00759925,0.00759925,0.00759925
99,4073.18,1.55053,1.21133,1.08065,0.81355,0.83505,0.83211,0.38261,1.63893,1.23942,1.15878,0.0075745,0.0075745,0.0075745
100,4114.55,1.52697,1.20995,1.07728,0.79455,0.73967,0.78593,0.34754,1.86013,1.32303,1.2505,0.00754975,0.00754975,0.00754975
101,4155.67,1.54569,1.20738,1.07937,0.82238,0.83449,0.84032,0.39364,1.59341,1.23181,1.14409,0.007525,0.007525,0.007525
102,4196.99,1.53394,1.20307,1.07436,0.82183,0.84754,0.83999,0.40359,1.46593,1.26703,1.11008,0.00750025,0.00750025,0.00750025
103,4238.26,1.53699,1.21011,1.07506,0.82193,0.82412,0.82984,0.3773,1.71574,1.22473,1.18119,0.0074755,0.0074755,0.0074755
